AAPB Unique Identifier (GUID),Type,Value,Timecode IN,Timecode OUT,Duration,dur_hh,dur_mm,dur_ss,seq_duration_SS,seq_duration_hh_mm_ss,Corpus,PBCore URL,AAPB URL,SonyCi ID,Filename,Source Org,Media Type,Title,Description,Genre,Creators,Source Format,Date Type,Date
cpb-aacip/29-816m97wg,Significant speaker voice,"Clinton, Bill",00:03:07,00:03:25,00:30:00:00,,,,420376,116:46:16,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_41-08hdrpgf.pbcore,http://americanarchive.org/catalog/cpb-aacip_41-08hdrpgf,ec43f950132f4aec98f7182b5e3ea6cb,cpb-aacip-41-08hdrpgf.h264.mp4,http://americanarchiveinventory.org,Series,,No description available,News,,Betacam SP,,
cpb-aacip/29-816m97wg,Significant speaker voice,"Clinton, Bill",00:03:28,00:03:50,01:30:00,,,,420376,116:46:16,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_298-64thtds2.pbcore,http://americanarchive.org/catalog/cpb-aacip_298-64thtds2,7b97480173b94638916a8224b9b894e0,cpb-aacip-298-64thtds2.h264.mp4,http://americanarchiveinventory.org,Series,,Individual News magazine story segments tape,News,,Betacam SP,,
cpb-aacip/29-816m97wg,Significant speaker voice,"Clinton, Bill",00:03:59,00:04:32,11:00:00,,,,420376,116:46:16,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_503-j96057dh5p.pbcore,http://americanarchive.org/catalog/cpb-aacip_503-j96057dh5p,97360c77f1e84e71ba8475ffc0618fe8,cpb-aacip-503-j96057dh5p__NHPR95198.mp3,NHPR Code,Raw Footage,Interview with President Bill Clinton,"Short interview with President Bill Clinton on the federal budget. Specifically covered: government spending, deficit reduction, and tax cuts",Politics and Government,"OrderedDict([(u'creator', u'NHPR'), (u'creatorRole', u'Producer')])",Digital,,
cpb-aacip/503-wm13n2192p,Significant speaker voice,"Clinton, Hillary",00:00:02,00:01:11,0:30:00,0.0,19.0,34.0,421550,117:05:50,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_293-br8mc8rr8k.pbcore,http://americanarchive.org/catalog/cpb-aacip_293-br8mc8rr8k,39a3ef2417b7462e8970998d8151591f,cpb-aacip-293-br8mc8rr8k__HUT00000045001_.h264.mp4,http://americanarchiveinventory.org,Program,Bill Clinton at Rankin Chapel,Then-President Bill Clinton speaks to the Howard University community on World AIDS Day and discusses how the disease affects African Americans.,,,Betacam SP,,
cpb-aacip/503-wm13n2192p,Significant speaker voice,"Clinton, Hillary",00:01:33,00:03:23,01:00:00?,,,,421550,117:05:50,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_111-53wsv001.pbcore,http://americanarchive.org/catalog/cpb-aacip_111-53wsv001,dc4e13f2576546e686c33a55b47c7b3b,cpb-aacip-111-53wsv001.h264.mp4,http://americanarchiveinventory.org,Title,Bill Clinton Career,No description available,Public Affairs,,3/4 inch videotape: U-matic,,
cpb-aacip/503-wm13n2192p,Significant speaker voice,"Clinton, Hillary",00:03:45,00:04:43,00:20:00?,,,,421550,117:05:50,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_111-53wstzp5.pbcore,http://americanarchive.org/catalog/cpb-aacip_111-53wstzp5,ae4d883af51d45bcacaa27ff1aaf4ba7,cpb-aacip-111-53wstzp5.h264.mp4,Arkansas Educational Television Network (AETN) Production Video Library (PVL),Raw Footage,Focus on Education with Governor Bill Clinton,"Raw footage of an interview with Governor Bill Clinton in which he discusses education reform, particularly in the context of Arkansas' economy and national rankings, as well as the need for increased state funding of higher education.",Unedited,,3/4 inch videotape: U-matic,,
cpb-aacip/298-89d51qxn,Significant speaker voice,"Clinton, Bill",00:03:04,00:04:30,00:20:00?,1.0,0.0,25.0,425175,118:06:15,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_111-569325x7.pbcore,http://americanarchive.org/catalog/cpb-aacip_111-569325x7,f82643cca8354c2988c980b17ecc853e,cpb-aacip-111-569325x7.h264.mp4,http://americanarchiveinventory.org,Title,"Education Night, Bill Clinton Interview",No description available,Education,,3/4 inch videotape: U-matic,,
cpb-aacip/298-89d51qxn,Significant speaker voice,"Clinton, Bill",00:04:54,00:06:58,3600.0,,,,425175,118:06:15,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_189-12m6402b.pbcore,http://americanarchive.org/catalog/cpb-aacip_189-12m6402b,2c1c68eaebca4c36b1fc140ef621d659,cpb-aacip-189-12m6402b.h264.mp4,,Series,,No description available,,,3/4 inch videotape: U-matic,,
cpb-aacip/298-89d51qxn,Significant speaker voice,"Clinton, Bill",00:09:01,00:13:17,13:00:00,,,,425175,118:06:15,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_503-s17sn01t72.pbcore,http://americanarchive.org/catalog/cpb-aacip_503-s17sn01t72,80d677a1dd1948369ff0c4f33a865f7c,cpb-aacip-503-s17sn01t72__NHPR95200.mp3,NHPR Code,Raw Footage,President Clinton/ Newt Gingrich Town Hall in Claremont,"President Bill Clinton and U.S. House Speaker Newt Gingrich, a Republican and ardent Clinton adversary, share a stage at a town hall in Claremont. Each makes a brief opening statement (Gingrich talks over some heckling) before answering audience questions on lobbying reform, medicare reform, ending partisan sniping in Washington, U.N. peacekeeping, the minimum wage, and balancing the budget/lowering the deficit while also preserving federal public service programs such as AmeriCorps. Clinton and Gingrich reveal areas of common ground on lobbying reform and Medicare reform and disagree respectfully on other issues. Attendees express hope in post-event reaction interviews that the town hall will herald more bipartisan cooperation in Washington and Gingrich says he'd be open to holding more joint town halls. He also states that he is not inclined to seek the presidency because he enjoys the speakership.",Unedited,"OrderedDict([(u'creator', u'NHPR'), (u'creatorRole', u'Producer')])",Digital,,
cpb-aacip/503-dj58c9rr36,Significant speaker voice,"Gore, Al",00:00:43,00:01:19,00:30:00:00?,1.0,19.0,10.0,429925,119:25:25,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_153-78gf240t.pbcore,http://americanarchive.org/catalog/cpb-aacip_153-78gf240t,1b96bf66be3745e8af6cfbe77d6f1056,cpb-aacip-153-78gf240t.h264.mp4,http://americanarchiveinventory.org,Series,,Al Gore Int.,News,,Betacam SP,,
cpb-aacip/503-dj58c9rr36,Significant speaker voice,"Gore, Al",00:02:56,00:07:52,00:30:00:00?,,,,429925,119:25:25,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_153-70zpcgx9.pbcore,http://americanarchive.org/catalog/cpb-aacip_153-70zpcgx9,92288687b7124e809652ae4b86a0e09d,cpb-aacip-153-70zpcgx9.h264.mp4,http://americanarchiveinventory.org,Series,,Al Gore Int,News,,Betacam,,
cpb-aacip/500-p26q3r4c,Significant speaker voice,"Gore, Al",00:08:30,00:08:59,00:26:46?,0.0,58.0,33.0,433438,120:23:58,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_77-35t77h6w.pbcore,http://americanarchive.org/catalog/cpb-aacip_77-35t77h6w,0fac16842f634e18b445faa01d97fa90,cpb-aacip-77-35t77h6w.h264.mp4,,Series,,"Minnesota's statewide news program which aired from 1994 to 2001. Hosted by Lou Harvin, Ken Stone, Mary Lahammer and Jim Neumann.",News,,Betacam SP,,
cpb-aacip/500-p26q3r4c,Significant speaker voice,"Gore, Al",00:10:17,00:12:51,02:05:34,,,,433438,120:23:58,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_37-25x69tn2.pbcore,http://americanarchive.org/catalog/cpb-aacip_37-25x69tn2,0460e5146aa8442f891777abc5a29457,cpb-aacip-37-25x69tn2.h264.mp4,NOLA,Series,,"Dub, Reel 3 of 3, MBR-60",Politics and Government,,3/4 inch videotape: U-matic,,
cpb-aacip/503-r49g44jg1f,Significant speaker voice,"Gore, Al",00:00:26,00:01:05,01:00:00,0.0,25.0,21.0,434959,120:49:19,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_37-94hmh306.pbcore,http://americanarchive.org/catalog/cpb-aacip_37-94hmh306,0bcdf5b12cbd4f42955caafa466931e7,cpb-aacip-37-94hmh306.h264.mp4,NOLA,Series,,"Reel 1, Rec. Engr. KOB, VTR-11, UCA-60",Politics and Government,,3/4 inch videotape: U-matic,,
cpb-aacip/503-r49g44jg1f,Significant speaker voice,"Gore, Al",00:01:13,00:02:05,01:00:00,,,,434959,120:49:19,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_37-87brvbvw.pbcore,http://americanarchive.org/catalog/cpb-aacip_37-87brvbvw,66d2bf15c72a4f94bb42825c69ea5007,cpb-aacip-37-87brvbvw.h264.mp4,NOLA,Series,,"Reel 2, 7 candidates, Rec. Engr. KOB, VTR-16, UCA-60",Politics and Government,,3/4 inch videotape: U-matic,,
cpb-aacip/503-r49g44jg1f,Significant speaker voice,"Gore, Al",00:02:20,00:03:20,1:04:52,,,,434959,120:49:19,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_16-bv79s1kz2n.pbcore,http://americanarchive.org/catalog/cpb-aacip_16-bv79s1kz2n,2b346f4e54d24766af7bf3cf24f1e030,cpb-aacip-16-bv79s1kz2n__focus920305a_.mp3,Illinois Public Media,Program,,"Guest: Senator Al Gore, (D-TN), author of the above book",Talk Show,"OrderedDict([(u'creator', u'Brighton, Jack'), (u'creatorRole', u'Producer')])",Digital,,
cpb-aacip/503-n29p26qr8p,Significant speaker voice,"Gore, Al",00:04:34,00:09:19,00:29:00,0.0,43.0,23.0,437562,121:32:42,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_78-07gqp4f8.pbcore,http://americanarchive.org/catalog/cpb-aacip_78-07gqp4f8,ee87bf37ffcf412eb257ccfa339b4a06,cpb-aacip-78-07gqp4f8.h264.mp4,http://americanarchiveinventory.org,Title,Martin Luther King Special/ Remembered,Martin Luther King Special/ Remembered. Remastered copy.,History,"OrderedDict([(u'creator', u'WVIZ'), (u'creatorRole', u'Producer')])",DVCPRO,,
cpb-aacip/503-n29p26qr8p,Significant speaker voice,"Gore, Al",00:09:27,00:11:23,00:30:00?,,,,437562,121:32:42,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_60-859cnz1m.pbcore,http://americanarchive.org/catalog/cpb-aacip_60-859cnz1m,60aa1397d91f43489f19e52cdb391d3a,cpb-aacip-60-859cnz1m.h264.mp4,http://americanarchiveinventory.org,Program,,Martin Luther King footage,Music,,Betacam SP,,
cpb-aacip/23-74cnpdc5,Significant speaker voice,"Gore, Al",00:10:13,00:11:55,,1.0,2.0,26.0,441308,122:35:08,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_28-sb3ws8j14c.pbcore,http://americanarchive.org/catalog/cpb-aacip_28-sb3ws8j14c,104a0a8ad53f4666ae3a44c344573440,cpb-aacip-28-sb3ws8j14c__PRA_AAPP_BB5411_In_memory_of_Martin_Luther_King_Jr_.mp3,unknown,Program,In memory of Martin Luther King Jr.,"This is a recording of a portion of a memorial for Dr. Martin Luther King, Jr. held on April 5, 1968, the day after his assassination. The first recording heard is an excerpt of a speech by King at the March on Washington, dated August 1963, followed by an introduction by a male member of the King family. Also appearing on this recording are Nigerian student and friend of Dr. King's, Sam Oni, speaking about living with racism in Macon, Georgia; Michael Jones of the Black Caucus and the Peace and Freedom party, talking about his anger over King's death; and comments from other unidentified friends of King's.",News,,1/4 inch audio tape,,
cpb-aacip/23-74cnpdc5,Significant speaker voice,"Gore, Al",00:12:05,00:12:26,,,,,441308,122:35:08,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_28-319s17sx3t.pbcore,http://americanarchive.org/catalog/cpb-aacip_28-319s17sx3t,6d8a789090f04040873bb7973b024401,cpb-aacip-28-319s17sx3t__PRA_AAPP_BB1460_Martin_Luther_King_at_Santa_Rita_.mp3,unknown,Program,Martin Luther King at Santa Rita,"After Joan Baez, her mother, and Ira Sandperl were incarcerated at Santa Rita prison in California after an anti-war demonstration at the Oakland induction center, Martin Luther King, Jr. came to Santa Rita and spoke first to the imprisoned activists and then the supporters and activists outside. This is a recording of the public speech recorded on January 14, 1968. King delivers a speech, explains his support of the anti-war activists, and takes questions from the press. Dr. King is introduced to activist David Harris towards the end of the recording. There is an excerpt of a conversation between Colin Edwards and Paul Obluda, staff member of the War Resisters League. Produced by Colin Edwards.",Social Issues,,1/4 inch audio tape,,
cpb-aacip/23-74cnpdc5,Significant speaker voice,"Gore, Al",00:12:39,00:15:15,00:30:00:00,,,,441308,122:35:08,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_41-15bcch5q.pbcore,http://americanarchive.org/catalog/cpb-aacip_41-15bcch5q,59a1186f25af4585b0300b90b6cf6953,cpb-aacip-41-15bcch5q.h264.mp4,SCETV SeriesCode,Series,,"OrderedDict([(u'@descriptionType', u'Episode'), ('#text', u'CATS Number: 91-EA-326-000br /Program Catalog EntryDate: 10/18/1991br\n    /Program Title: MARTIN LUTHER KING')])",Public Affairs,,3/4 inch videotape: U-matic,,
cpb-aacip/503-707wm14787,Significant speaker voice,"Gore, Al",00:31:03,00:31:44,00:57:12,1.0,8.0,8.0,445396,123:43:16,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-9gm81p0j.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-9gm81p0j,acf7fe6d4d91402b8de06cf00c442231,cpb-aacip-15-9gm81p0j__256757_.mp3,IMPORT_ID,Program,"Martin Luther King, Jr. in Cambridge Mass","Martin Luther King, Jr. speaking for the Harvard-Radcliffe Young Democratic Club on the issues involved in the struggle for ""freedom and human dignity"" and on segregation.",Social Issues,,Digital,,
cpb-aacip/503-707wm14787,Significant speaker voice,"Gore, Al",00:34:18,00:35:08,00:30:12,,,,445396,123:43:16,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-93j39132.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-93j39132,cfef7978beda49dfb939736b7709621b,cpb-aacip-15-93j39132__256755_.mp3,IMPORT_ID,Program,"Martin Luther King, Jr. at Springfield College","Martin Luther King, Jr. 1964 appearance at Springfield College, Springfield, MA.",Social Issues,,Digital,,
cpb-aacip/503-707wm14787,Significant speaker voice,"Gore, Al",00:42:53,00:44:00,00:18:52,,,,445396,123:43:16,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-97940t7x.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-97940t7x,e8802206217d4fd596d872bc67a89644,cpb-aacip-15-97940t7x__111486_.mp3,IMPORT_ID,Series,,"The Educational Radio Network / ERN's coverage of the March on Washington for Jobs and Freedom Martin Luther King, Jr. introduction and speech: ?I have a dream...?",News,,Digital,,
cpb-aacip/15-9k45q4rs7v,Significant speaker voice,"Gore, Al",00:03:35,00:07:46,01:00:00?,1.0,7.0,40.0,449456,124:50:56,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_30-913n6r0k.pbcore,http://americanarchive.org/catalog/cpb-aacip_30-913n6r0k,78334f91c13941849c2f793c61b68cf1,cpb-aacip-30-913n6r0k.mp3,To the best of our knowledge,Series,,No description available,Social Issues,,1/4 inch audio tape,,
cpb-aacip/15-9k45q4rs7v,Significant speaker voice,"Gore, Al",00:08:30,00:15:31,00:01:18,,,,449456,124:50:56,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-5x2599z66m.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-5x2599z66m,96767be56daa457e93aecb5d3dd7e47e,cpb-aacip-15-5x2599z66m__iml04_vid_malc2_.h264.mp4,UOI_ID,Series,,"OrderedDict([(u'@descriptionType', u'Episode'), ('#text', u'In this interview, taken from archival news footage, civil rights leader\n    Malcolm X describes the impact of his 1964 pilgrimage to Mecca on his racial\n    views.')])",Social Issues,,Digital,,
cpb-aacip/15-z60bv7b79n,Significant speaker voice,"Gore, Al",00:38:00,00:53:30,00:41:11,1.0,12.0,49.0,453825,126:03:45,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-9g5gb1xk8b.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-9g5gb1xk8b,64c104ffe231453fbdbe399f02c650c6,cpb-aacip-15-zs2k64b451__mck05_vid_collabexp_.h264.mp4,UOI_ID,Series,,"OrderedDict([(u'@descriptionType', u'Episode'), ('#text', u'In this archival news footage, civil rights leader Malcolm X describes the\n    political, economic, and social aspects of black nationalism.')])",Social Issues,,Digital,,
cpb-aacip/15-z60bv7b79n,Significant speaker voice,"Gore, Al",00:53:41,01:01:59,,,,,453825,126:03:45,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_151-vx05x2681f.pbcore,http://americanarchive.org/catalog/cpb-aacip_151-vx05x2681f,10d26861ab3b43bda2a350e4cd8aa039,cpb-aacip-151-mc8rb6wk8n__fma_2_56_3_1_pres_20100112_.h264.mp4,,Series,,"This definitive biography weaves together interviews, archival footage, photographs, and an original score to portray the fascinating intellectual journey of a complex man whose ideas resonate today.",Documentary,"Fayer, Steve|Bagwell, Orlando|Richardson, Judy",Digital,,
cpb-aacip/15-4m9183453q,Significant speaker voice,"Gore, Al",00:16:32,00:18:33,,1.0,7.0,45.0,457890,127:11:30,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_62-f47gq6rd3s.pbcore,http://americanarchive.org/catalog/cpb-aacip_62-f47gq6rd3s,12f6ba2120204b8db783fa8a6d4806c6,cpb-aacip-62-f47gq6rd3s__netnola_bljl_51_doc_.h264.mp4,unknown,Title,,"Marking the seventh anniversary of the death of Malcolm X, this program primarily surveys the assassination of the black leader (which occurred February 21, 1965); points to discrepancies surrounding the circumstances of his death as reported in eye-witness testimonies, newspapers and magazines; and poses the questions left unasked and unanswered during the investigation. In the process, Black Journal also presents a documentary profile of Malcolm X, noting significant episodes in his life. These include his first introduction to the Muslims, his break with the Honorable Elijah Muhammad, his journey to Mecca, the creation of the Muslim Mosque Inc., the organization of Afro-American unity, and his trips to Africa. Appropriate visual material supplements the report film clips of Malcolms speeches and still photographs. In addition, an associate editor of Ebony magazine , who was a member of the OAAU and was present at the Audubon Ballroom in Harlem the day of the assassination, recall the evening on Black Journal. Credits: Black Journal is a production of NET Division, Educational Broadcasting Corporation. Executive Producer: Tony Brown. The program is transmitted nationally by PBS, the Public Broadcasting Service.",,,Betacam Digital (Digi Beta),,
cpb-aacip/15-4m9183453q,Significant speaker voice,"Gore, Al",00:18:45,00:30:57,00:58:38,,,,457890,127:11:30,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-90r9m39q.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-90r9m39q,e6e09b1f6a0341c98f52377a7713490b,cpb-aacip-15-90r9m39q__231077_.mp3,IMPORT_ID,Series,,"A conversation of August 4, 1963 on the civil rights movement between Malcolm X, Wyatt Tee Walker, Alan Morrison, and James Farmer, moderated by Richard D. Heffner. The program was recorded within hours of the assassination of Medgar Evers and is partially discussed in that context.",Social Issues,,Digital,,
cpb-aacip/23-150gb755,Significant speaker voice,"Gore, Al",00:06:35,00:07:00,00:30:00,0.0,57.0,50.0,461360,128:09:20,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_500-2v2ccw7g.pbcore,http://americanarchive.org/catalog/cpb-aacip_500-2v2ccw7g,842358683c764316992e461bf4ede9ce,cpb-aacip-500-2v2ccw7g.mp3,University of Maryland,Program,James Baldwin,Interview with author James Baldwin.,Literature,"OrderedDict([(u'creator', u'National Association of Educational Broadcasters')])",1/4 inch audio tape,,
cpb-aacip/23-150gb755,Significant speaker voice,"Gore, Al",00:08:18,00:08:51,00:27:49,,,,461360,128:09:20,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_500-mc8rgt5t.pbcore,http://americanarchive.org/catalog/cpb-aacip_500-mc8rgt5t,d7f8f5cdd7a64274b8bb1c1485201902,cpb-aacip-500-mc8rgt5t.mp3,University of Maryland,Program,James Baldwin,Interview with author James Baldwin.,Literature,"OrderedDict([(u'creator', u'National Association of Educational Broadcasters')])",1/4 inch audio tape,,
cpb-aacip/23-150gb755,Significant speaker voice,"Gore, Al",00:16:28,00:18:26,00:24:57;08,,,,461360,128:09:20,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-0v89g5gf5r.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-0v89g5gf5r,d3ab7b584a93431ab69708447817488d,cpb-aacip-15-0v89g5gf5r__barcode94696_clip1_.h264.mp4,IMPORT_ID,Program,,"This edited version of ""A Conversation With James Baldwin"" contains the entire interview with Baldwin from ""Perspectives: Negro and the American Promise.""",Social Issues,"[OrderedDict([(u'creator', u'Barzyk, Fred'), (u'creatorRole', u'Director2')]), OrderedDict([(u'creator', OrderedDict([(u'@affiliation', u'WGBH-TV'), ('#text', u'Morganthau, Henry')])), (u'creatorRole', u'Producer')])]",Digital,,
cpb-aacip/37-902z3g9s,Significant speaker voice,"Gore, Al",00:06:33,00:08:37,,1.0,2.0,4.0,465084,129:11:24,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_28-9z90863j5g.pbcore,http://americanarchive.org/catalog/cpb-aacip_28-9z90863j5g,881b69cd21f740af9affc66b9dd3c0c5,cpb-aacip-28-9z90863j5g__PRA_AAPP_BB2011_Free_and_brave_.mp3,unknown,Program,Free and brave / James Baldwin,James Baldwin talks about American history from the Negro view. Recorded by Lorenz Graham at the Second Baptist Church in Los Angeles.,History,,1/4 inch audio tape,,
cpb-aacip/37-902z3g9s,Significant speaker voice,"Gore, Al",00:24:53,00:26:58,00:29:15,,,,465084,129:11:24,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_15-83xsjk31.pbcore,http://americanarchive.org/catalog/cpb-aacip_15-83xsjk31,ff98f669e5e44dcb931f11de5e3cf013,cpb-aacip-15-83xsjk31.mp3,MARS Source Creation Order,Series,,Louis Lyons,Magazine,"OrderedDict([(u'creator', u'Radio'), (u'creatorRole', u'Production Unit')])",1/4 inch audio tape,,
cpb-aacip/37-902z3g9s,Significant speaker voice,"Gore, Al",00:56:41,00:58:49,,,,,465084,129:11:24,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_28-8s4jm23q52.pbcore,http://americanarchive.org/catalog/cpb-aacip_28-8s4jm23q52,1183b7f2823e4202905963c3f1e2695a,cpb-aacip-28-8s4jm23q52__PRA_AAPP_BB0632_A_conversation_with_James_Baldwin_.mp3,unknown,Program,A conversation with James Baldwin,"Elsa Knight Thompson and John Leonard, Director of literature and drama, talk with the author of ?The fire next time? and ?Nobody knows my name? about both literary and political matters. Among other things, Baldwin discusses what comes after Birmingham in the civil rights movement, and why the critics attacked his novel ?Another country.?",Talk Show,,1/4 inch audio tape,,
cpb-aacip/37-90rr589m,Significant speaker voice,"Gore, Al",00:08:32,00:10:43,00:00:00,0.0,55.0,10.0,468394,130:06:34,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_187-97xkt1t5.pbcore,http://americanarchive.org/catalog/cpb-aacip_187-97xkt1t5,17b356a4a874470d8c4eaa34ad803547,cpb-aacip-187-97xkt1t5.mp3,NHPR,Label,Hillary Clinton + Kathy McLaughin,( No box for reel ),Women,"OrderedDict([(u'creator', u'NHPR'), (u'creatorRole', u'Producer')])",1/4 inch audio tape,,
cpb-aacip/37-90rr589m,Significant speaker voice,"Gore, Al",00:48:52,00:52:10,0:51:31,,,,468394,130:06:34,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_503-p843r0qk55.pbcore,http://americanarchive.org/catalog/cpb-aacip_503-p843r0qk55,f75082bdbb844829a03c514c1893f4f8,cpb-aacip-503-p843r0qk55__NHPR71731.mp3,NHPR Code,Series,,"With her host and in response to caller questions, guest U.S. Sen. Hillary Clinton of New York, a Democratic presidential candidate, discusses a range of campaign and policy issues, including her middle class retirement savings plan and opposition to privatizing Social Security; her plan to end the Iraq War early in her administration, her healthcare plan, her electability and ability to withstand and defeat ""the Republican attack machine,"" transcending partisanship in Washington, her belief in using diplomacy with the Iranian Revolutionary Guard, and the importance of her religious faith.",Economics,"OrderedDict([(u'creator', u'NHPR'), (u'creatorRole', u'Producer')])",Digital,,
cpb-aacip/80-79v166d1,Significant speaker voice,"Gore, Al",00:01:00,00:01:16,00:40:00?,1.0,59.0,15.0,475549,132:05:49,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_131-82k6dstr.pbcore,http://americanarchive.org/catalog/cpb-aacip_131-82k6dstr,b8a3a092120c4d8ebc20d73cb7838c38,cpb-aacip-131-82k6dstr.h264.mp4,,Series,New York Now,"'New York NOW' is New York State's Emmy-nominated, in-depth public affairs program, featuring news, interviews and analysis from the Capitol. Each week, the program probes politicians, civil servants, journalists and others as they examine the impact of public policy on residents of the Empire State",Magazine,,Betacam Digital (Digi Beta),,
cpb-aacip/37-01bk3m5s,Significant speaker voice,"Gore, Al",00:02:59,00:05:09,00:00:00,1.0,2.0,6.0,479275,133:07:55,Training Set 400hrs,http://americanarchive.org/catalog/cpb-aacip_80-26xwdwqv.pbcore,http://americanarchive.org/catalog/cpb-aacip_80-26xwdwqv,9e5774f2a6b840bfa5b6f965b32dd2d5,cpb-aacip-80-26xwdwqv.mp3,pbcore XML database UUID,Series,,"HILLARY'S OTHER BILL SENATOR CLINTON ON THE PATIENTS BILL OF RIGHTS
    10:05-10:10 HILLARY CLINTON SENATOR (D-NY) http://clinton.senate.gov/ ON
    TAPE THE SHOCKING TRUTH ABOUT MENTAL ILLNESS ELECTROSHOCK AND OTHER HOT
    TOPICS IN MENTAL HEALTH 10:10-10:20 JODY SILVER CO-PRESIDENT OF THE NEW YORK
    ASSOCIATION OF PSCHIATRIC REHABILITATION http://www.contac.org/NYAPRS.htm
    (917)697-8629 WHY ARE NEW YORKERS BLOODTHIRSTY? A PROPOSED BAN ON BLOOD FROM
    EUROPE 10:20-10:40 ERICK SENALDI MEDICAL DIRECTOR OF THE NEW YORK BLOOD
    CENTER http://www.nybloodcenter.org/ WILL CALL US. CT. LINDA: 570-3011 1800
    933 BLOOD WHEN CUSTODY MEANS KIDNAPPING PARENTS ABDUCTING CHILDREN, AND THE
    FIGHT TO RESCUE THEM 10:40-11:00 MAUREEN DABBAGH FOUNDER OF P.A.R.E.N.T., AN
    INTERNATIONAL, NON-PROFIT PARENTAL ABDUCTION SUPPORT NETWORK AND AUTHOR. SHE
    IS ALSO FIGHTING FOR THE RETURN OF HER DAUGHTER, NADIA. RECOVERY OF
    INTERNATIONALLY ABDUCTED CHILDREN (757) 497-0042 THE SOAPBOX YAKKETY YAK
    11:05-11:20 THE GOVERNOR GOES BACK TO SCHOOL BUT DOES ROY ROMER NEED
    REMEDIAL EDUCATION? 11:20-11:40 MATTHEW MILLER JOURNALIST
    http://www.washingtonmonthly.com/feat ures/2001/0106.miller.html 310 230
    1600 HOME OFFICE THE BEST LEGAL WHOREHOUSE IN NEVADA PRIVATE LIVES AND
    PUBLIC HEALTH IN OUR NATION'S OLDEST BROTHEL 11:40-12:00 ALEXA ALBERT
    HARVARD MEDICAL STUDENT AND AUTHOR BROTHEL: MUSTANG RANCH AND ITS WOMEN WILL
    CALL US. CT LARA 583-2787 CALL AT 3 ON TUES FOR INTER 206-861-1216",Talk Show,,F1 Beta tape,,
